Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.27,0.03,0.21,0.518
1: possession of nociceptors,1.747,1.0,2.0,2.0
2: possession of integrative brain regions,8.744,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,0.0,0.0,0.0,0.0
4: behavioural response modulated by chemical compounds,0.627,0.0,1.0,1.0
5: evidence of motivational trade-offs,3.084,0.0,5.0,5.0
6: flexible self-protective behaviour,3.998,1.0,6.0,6.0
7: evidence of associative learning,9.271,5.0,11.0,12.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,3.138,0.0,5.0,5.0
9: evidence of affective states,4.402,0.0,5.0,5.0
