Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.288,0.077,0.219,0.573
1: possession of nociceptors,0.627,0.0,1.0,1.0
2: possession of integrative brain regions,3.13,0.0,5.0,5.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,3.128,0.0,5.0,5.0
4: behavioural response modulated by chemical compounds,0.631,0.0,1.0,1.0
5: evidence of motivational trade-offs,0.0,0.0,0.0,0.0
6: flexible self-protective behaviour,0.0,0.0,0.0,0.0
7: evidence of associative learning,4.006,1.0,6.0,6.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,0.0,0.0,0.0,0.0
9: evidence of affective states,3.125,0.0,5.0,5.0
