Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.454,0.082,0.328,0.907
1: possession of nociceptors,7.881,3.0,9.0,9.0
2: possession of integrative brain regions,8.732,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,10.646,5.0,10.0,15.0
4: behavioural response modulated by chemical compounds,11.506,6.0,11.0,16.0
5: evidence of motivational trade-offs,13.71,5.0,15.0,20.0
6: flexible self-protective behaviour,5.23,1.0,6.0,6.0
7: evidence of associative learning,19.681,11.0,21.0,27.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,6.248,0.0,5.0,10.0
9: evidence of affective states,16.853,10.0,15.0,25.0
