Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.863,0.615,0.884,0.99
1: possession of nociceptors,7.889,3.0,9.0,9.0
2: possession of integrative brain regions,8.726,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,13.139,10.0,15.0,15.0
4: behavioural response modulated by chemical compounds,11.509,6.0,11.0,16.0
5: evidence of motivational trade-offs,10.615,5.0,10.0,15.0
6: flexible self-protective behaviour,5.243,1.0,6.0,6.0
7: evidence of associative learning,23.684,17.0,26.0,27.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,4.967,0.0,5.0,10.0
9: evidence of affective states,26.276,20.0,25.0,30.0
