Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.258,0.017,0.179,0.556
1: possession of nociceptors,1.751,1.0,2.0,2.0
2: possession of integrative brain regions,8.75,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,4.36,0.0,5.0,5.0
4: behavioural response modulated by chemical compounds,5.26,1.0,6.0,6.0
5: evidence of motivational trade-offs,0.0,0.0,0.0,0.0
6: flexible self-protective behaviour,3.992,1.0,6.0,6.0
7: evidence of associative learning,18.0,12.0,17.0,22.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,0.0,0.0,0.0,0.0
9: evidence of affective states,6.262,0.0,5.0,10.0
