Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.085,0.002,0.042,0.253
1: possession of nociceptors,2.364,1.0,2.0,3.0
2: possession of integrative brain regions,4.918,0.0,5.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,6.286,0.0,5.0,10.0
4: behavioural response modulated by chemical compounds,8.395,5.0,10.0,11.0
5: evidence of motivational trade-offs,3.086,0.0,5.0,5.0
6: flexible self-protective behaviour,0.0,0.0,0.0,0.0
7: evidence of associative learning,9.651,2.0,11.0,17.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,0.0,0.0,0.0,0.0
9: evidence of affective states,0.0,0.0,0.0,0.0
