Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.769,0.419,0.757,0.99
1: possession of nociceptors,7.015,3.0,8.0,8.0
2: possession of integrative brain regions,7.506,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,11.867,5.0,10.0,15.0
4: behavioural response modulated by chemical compounds,8.076,1.0,10.0,11.0
5: evidence of motivational trade-offs,13.836,5.0,15.0,20.0
6: flexible self-protective behaviour,5.229,1.0,6.0,6.0
7: evidence of associative learning,24.263,16.0,26.0,32.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,4.397,0.0,5.0,5.0
9: evidence of affective states,13.742,5.0,15.0,20.0
