Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.446,0.078,0.322,0.896
1: possession of nociceptors,7.009,3.0,8.0,8.0
2: possession of integrative brain regions,8.725,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,7.513,5.0,10.0,10.0
4: behavioural response modulated by chemical compounds,12.748,6.0,11.0,16.0
5: evidence of motivational trade-offs,15.056,10.0,15.0,20.0
6: flexible self-protective behaviour,5.242,1.0,6.0,6.0
7: evidence of associative learning,18.024,12.0,17.0,22.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,6.295,0.0,5.0,10.0
9: evidence of affective states,13.693,5.0,15.0,20.0
