Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.235,0.014,0.193,0.489
1: possession of nociceptors,1.748,1.0,2.0,2.0
2: possession of integrative brain regions,7.546,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,3.115,0.0,5.0,5.0
4: behavioural response modulated by chemical compounds,3.123,0.0,5.0,5.0
5: evidence of motivational trade-offs,0.0,0.0,0.0,0.0
6: flexible self-protective behaviour,0.878,0.0,1.0,1.0
7: evidence of associative learning,7.987,2.0,7.0,12.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,0.0,0.0,0.0,0.0
9: evidence of affective states,3.126,0.0,5.0,5.0
