Species,Mean,5th-pct,50th-pct,95th-pct
cows,0.851,0.659,0.864,0.984
pigs,0.85,0.657,0.863,0.983
chickens,0.816,0.574,0.82,0.983
octopuses,0.748,0.407,0.726,0.981
bees,0.454,0.041,0.408,0.859
bsf,0.455,0.128,0.325,0.852
carp,0.434,0.079,0.311,0.858
crabs,0.432,0.078,0.31,0.856
crayfish,0.434,0.081,0.31,0.86
salmon,0.433,0.076,0.31,0.858
fruit_flies,0.429,0.067,0.309,0.863
ants,0.336,0.037,0.259,0.631
spiders,0.312,0.019,0.253,0.627
cockroaches,0.296,0.02,0.205,0.627
earthworms,0.106,0.003,0.052,0.313
silkworms,0.109,0.003,0.052,0.315
sea_hares,0.162,0.002,0.05,0.473
c_elegans,0.078,0.0,0.005,0.302
