Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.925,0.739,0.972,0.99
cows,0.91,0.715,0.947,0.99
chickens,0.874,0.625,0.9,0.99
octopuses,0.782,0.43,0.775,0.99
bees,0.471,0.042,0.425,0.904
fruit_flies,0.455,0.072,0.331,0.925
carp,0.456,0.082,0.33,0.911
salmon,0.451,0.079,0.327,0.908
crayfish,0.453,0.084,0.326,0.907
crabs,0.425,0.076,0.307,0.847
ants,0.302,0.033,0.235,0.578
bsf,0.293,0.076,0.219,0.572
spiders,0.254,0.016,0.207,0.521
cockroaches,0.264,0.018,0.183,0.567
earthworms,0.083,0.002,0.041,0.245
sea_hares,0.129,0.002,0.04,0.385
silkworms,0.081,0.002,0.039,0.237
c_elegans,0.068,0.0,0.004,0.267
