Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.924,0.738,0.97,0.99
cows,0.909,0.712,0.944,0.99
chickens,0.872,0.623,0.897,0.99
octopuses,0.783,0.43,0.775,0.99
bees,0.47,0.041,0.424,0.903
fruit_flies,0.454,0.071,0.33,0.921
carp,0.454,0.082,0.329,0.907
salmon,0.45,0.079,0.326,0.904
crayfish,0.452,0.083,0.325,0.905
crabs,0.425,0.076,0.308,0.847
ants,0.303,0.033,0.236,0.58
bsf,0.292,0.075,0.218,0.57
spiders,0.254,0.016,0.207,0.521
cockroaches,0.263,0.018,0.183,0.565
earthworms,0.083,0.002,0.041,0.244
sea_hares,0.129,0.002,0.04,0.384
silkworms,0.081,0.002,0.039,0.236
c_elegans,0.068,0.0,0.004,0.266
