Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.921,0.735,0.966,0.99
cows,0.903,0.705,0.935,0.99
chickens,0.863,0.615,0.884,0.99
octopuses,0.769,0.419,0.757,0.99
bees,0.457,0.04,0.412,0.877
carp,0.454,0.082,0.328,0.907
fruit_flies,0.449,0.07,0.326,0.911
salmon,0.446,0.078,0.322,0.896
crayfish,0.445,0.082,0.32,0.891
crabs,0.423,0.076,0.306,0.843
bsf,0.288,0.077,0.219,0.573
ants,0.27,0.03,0.21,0.518
spiders,0.235,0.014,0.193,0.489
cockroaches,0.258,0.017,0.179,0.556
earthworms,0.085,0.002,0.042,0.253
sea_hares,0.134,0.002,0.042,0.399
silkworms,0.079,0.002,0.039,0.233
c_elegans,0.069,0.0,0.004,0.27
