Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.926,0.74,0.974,0.99
cows,0.911,0.716,0.95,0.99
chickens,0.875,0.626,0.902,0.99
octopuses,0.784,0.431,0.777,0.99
bees,0.472,0.042,0.426,0.906
fruit_flies,0.456,0.072,0.332,0.927
carp,0.457,0.083,0.33,0.912
crayfish,0.454,0.084,0.327,0.91
salmon,0.452,0.079,0.327,0.91
crabs,0.426,0.076,0.308,0.849
ants,0.303,0.033,0.236,0.581
bsf,0.298,0.081,0.221,0.578
spiders,0.256,0.016,0.208,0.524
cockroaches,0.265,0.018,0.184,0.569
earthworms,0.084,0.002,0.041,0.246
sea_hares,0.13,0.002,0.04,0.388
silkworms,0.081,0.002,0.04,0.238
c_elegans,0.069,0.0,0.004,0.268
