Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.922,0.735,0.967,0.99
cows,0.908,0.713,0.944,0.99
chickens,0.871,0.622,0.894,0.99
octopuses,0.782,0.43,0.772,0.99
bees,0.471,0.042,0.425,0.901
fruit_flies,0.453,0.071,0.329,0.917
carp,0.454,0.082,0.328,0.906
crayfish,0.452,0.083,0.324,0.904
salmon,0.449,0.079,0.324,0.9
crabs,0.427,0.077,0.309,0.852
ants,0.307,0.033,0.238,0.586
bsf,0.306,0.085,0.226,0.586
spiders,0.261,0.016,0.213,0.531
cockroaches,0.268,0.018,0.185,0.572
earthworms,0.086,0.002,0.042,0.254
sea_hares,0.134,0.002,0.042,0.397
silkworms,0.083,0.002,0.04,0.241
c_elegans,0.069,0.0,0.004,0.269
